Kecamatan,Jumlah Penduduk,Luas Wilayah
Andir,99288,422
Antapani,79496,422
Arcamanik,77750,759
Astana Anyar,73495,268
Babakan Ciparay,141196,707
Bandung Kidul,60596,542
Bandung Kulon,135114,695
Bandung Wetan,28686,344
Batununggal,120741,482
Bojongloa Kaler,123761,312
Bojongloa Kidul,86851,520
Buahbatu,102529,746
Cibeunying Kaler,70261,464
Cibeunying Kidul,112583,414
Cibiru,74157,684
Cicendo,95826,779
Cidadap,53992,842
Cinambo,25324,425
Coblong,114318,731
Gedebage,40886,996
Kiaracondong,130396,580
Lengkong,71082,591
Mandalajati,72107,480
Panyileukan,40035,531
Rancasari,84765,701
Regol,80549,474
Sukajadi,102352,528
Sukasari,77385,636
Sumur Bandung,37469,349
Ujung Berung,87977,624
