Kecamatan,Tidak Bekerja,Aparatur Pejabat Negara,Tenaga Pengajar,Wiraswasta,Pertanian,Nelayan,Agama dan Kepercayaan,Pelajar dan Mahasiswa,Tenaga Kesehatan,Pensiunan,Pekerja Lainnya
Andir,16481,2006,660,34459,8,1,48,21729,183,1039,22471
Antapani,12197,4816,887,23094,29,2,34,16619,363,2851,14317
Arcamanik,12714,3900,794,21961,52,2,27,16377,312,1763,14522
Astana Anyar,11236,1166,430,25644,13,1,24,15862,119,659,18082
Babakan Ciparay,22493,1814,562,45250,44,4,45,26984,249,908,34144
Bandung Kidul,10235,1834,370,18672,56,3,11,13200,193,889,12269
Bandung Kulon,23854,2057,911,45276,85,4,56,27844,194,1216,29334
Bandung Wetan,4540,1002,335,10117,7,0,61,6313,210,710,6479
Batununggal,19253,3607,649,39816,21,0,11,25457,219,2159,26323
Bojongloa Kaler,17916,1188,537,34376,39,0,34,21726,153,682,25359
Bojongloa Kidul,10235,1834,370,18672,56,3,11,13200,193,889,12269
Buahbatu,14882,4930,864,30961,56,1,12,23610,338,2455,19748
Cibeunying Kaler,9378,2944,733,22151,19,3,14,16384,218,1707,14765
Cibeunying Kidul,19486,4071,891,35636,20,1,24,22534,241,2162,24083
Cibiru,12228,2427,813,22411,215,2,6,16236,128,884,16262
Cicendo,14953,2880,735,31871,8,0,88,19456,334,1392,22331
Cidadap,8365,1545,485,17097,33,2,32,10915,146,772,12652
Cinambo,3914,1275,210,7773,26,0,5,5013,56,339,5534
Coblong,18058,3856,907,37430,19,1,11,24672,320,2403,23570
Gedebage,6929,2138,419,11378,119,1,14,8452,113,774,7832
Kiaracondong,13712,2625,526,27795,23,2,12,18874,171,1556,21658
Lengkong,9858,4250,630,22574,26,0,22,16425,444,2022,14692
Mandalajati,11825,2082,492,22280,18,1,5,13462,135,923,16429
Panyileukan,5748,2703,463,11124,55,1,12,9524,106,835,7311
Rancasari,13043,4304,835,24746,129,2,18,18745,324,2652,15903
Regol,11322,2340,516,28141,13,1,27,18341,229,1260,18124
Sukajadi,16894,2884,825,32683,29,0,47,21409,457,1932,22512
Sukasari,10932,3361,1017,23411,71,1,22,16302,364,2094,16454
Sumur Bandung,5799,2084,194,11548,3,1,80,7891,163,536,7620
Ujung Berung,15262,3353,789,24633,184,2,27,17899,215,1452,17455
