Kecamatan,Jumlah Penduduk,Luas Wilayah
Andir,99085,422
Antapani,75209,422
Arcamanik,72424,759
Astana Anyar,73236,268
Babakan Ciparay,132497,707
Bandung Kidul,57732,542
Bandung Kulon,130831,695
Bandung Wetan,29774,344
Batununggal,117515,482
Bojongloa Kaler,120851,312
Bojongloa Kidul,84079,520
Buahbatu,97857,746
Cibeunying Kaler,68316,464
Cibeunying Kidul,109149,414
Cibiru,71612,684
Cicendo,94048,779
Cidadap,52044,842
Cinambo,24145,425
Coblong,111247,731
Gedebage,38169,996
Kiaracondong,124255,580
Lengkong,70943,591
Mandalajati,67652,480
Panyileukan,37882,531
Rancasari,80701,701
Regol,80314,474
Sukajadi,99672,528
Sukasari,74029,636
Sumur Bandung,35919,349
Ujung Berung,81271,624
