Kecamatan,Tidak Bekerja,Aparatur Pejabat Negara,Tenaga Pengajar,Wiraswasta,Pertanian,Nelayan,Agama dan Kepercayaan,Pelajar dan Mahasiswa,Tenaga Kesehatan,Pensiunan,Pekerja Lainnya
Andir,18174,1652,717,33987,14,0,51,21683,204,763,22043
Antapani,14965,4612,1017,24057,23,2,37,16810,479,2786,14708
Arcamanik,14724,3962,899,23564,52,2,31,17126,367,1714,15309
Astana Anyar,13151,1025,444,25213,13,0,21,15720,136,518,17254
Babakan Ciparay,27978,1481,632,46165,33,0,53,28925,226,791,34912
Bandung Kidul,11414,1777,426,19359,47,2,12,13865,237,807,12650
Bandung Kulon,26921,1967,971,45263,66,4,68,28855,215,1039,29745
Bandung Wetan,4711,769,327,9739,8,0,53,6279,225,559,6016
Batununggal,21015,2984,707,40364,20,0,13,27475,207,1617,26339
Bojongloa Kaler,20645,1145,576,34568,33,2,35,21879,176,563,24608
Bojongloa Kidul,11414,1777,426,19359,47,2,12,13865,237,807,12650
Buahbatu,19027,4804,999,31676,62,3,16,23147,369,2355,20071
Cibeunying Kaler,11678,2562,749,22966,15,2,15,16203,255,1523,14293
Cibeunying Kidul,22165,3852,965,36128,20,2,21,23751,270,1831,23578
Cibiru,14429,2375,924,22734,169,2,7,16752,134,766,15865
Cicendo,17441,2849,763,31757,6,0,78,20400,384,1128,21020
Cidadap,10028,1486,524,17366,25,0,33,11245,175,643,12467
Cinambo,4674,1288,227,8229,22,1,4,5122,96,301,5360
Coblong,20321,3263,1064,38312,15,2,15,25512,336,2050,23428
Gedebage,8439,2180,479,12048,100,1,15,8806,158,711,7949
Kiaracondong,18642,2559,587,28815,31,2,12,18915,181,1240,20637
Lengkong,11147,3969,665,22278,17,2,28,16513,507,1731,14225
Mandalajati,14643,2076,550,23212,17,1,4,15032,128,789,15655
Panyileukan,7519,2497,520,11821,43,2,15,8998,142,901,7577
Rancasari,15648,4154,916,26129,112,1,19,18733,369,2329,16355
Regol,13771,2028,539,27381,11,1,31,17907,238,1078,17564
Sukajadi,18481,2654,877,33074,40,3,50,22612,507,1615,22439
Sukasari,13673,3268,1098,24136,55,1,24,17183,405,1761,15781
Sumur Bandung,6336,2242,229,11410,7,0,83,8895,202,505,7560
Ujung Berung,18318,3310,929,26445,174,2,37,18761,251,1336,18414
