Kecamatan,Tidak Bekerja,Aparatur Pejabat Negara,Tenaga Pengajar,Wiraswasta,Pertanian,Nelayan,Agama dan Kepercayaan,Pelajar dan Mahasiswa,Tenaga Kesehatan,Pensiunan,Pekerja Lainnya
Andir,17826,1730,710,34283,12,0,51,21024,191,961,22344
Antapani,14282,4755,975,23888,29,2,34,16536,453,2926,14684
Arcamanik,14491,3942,860,23219,52,1,33,16293,344,1821,15183
Astana Anyar,12802,1072,458,25825,12,0,22,15335,124,657,17771
Babakan Ciparay,26720,1553,622,46670,37,1,51,26982,225,912,35015
Bandung Kidul,10882,1773,422,19256,55,3,12,13531,225,892,12647
Bandung Kulon,25589,2009,948,45416,73,4,67,27510,220,1137,29838
Bandung Wetan,4670,814,332,9878,7,0,57,6085,215,661,6198
Batununggal,20512,3213,704,40806,21,0,14,26555,212,2009,26854
Bojongloa Kaler,20061,1154,573,35106,39,1,39,21155,169,675,25066
Bojongloa Kidul,10882,1773,422,19256,55,3,12,13531,225,892,12647
Buahbatu,17820,4859,955,31574,62,1,16,22699,350,2546,20140
Cibeunying Kaler,11271,2694,758,22871,19,2,14,15805,252,1680,14417
Cibeunying Kidul,21648,3965,935,36582,24,2,23,23047,261,2205,24211
Cibiru,13811,2397,893,22683,191,2,6,15935,128,861,15884
Cicendo,16910,2863,757,32309,7,0,80,19666,372,1382,21662
Cidadap,9614,1512,520,17456,31,0,33,10779,177,776,12724
Cinambo,4425,1286,230,8298,28,0,5,4887,83,352,5507
Coblong,19579,3454,1001,38412,17,2,17,24915,331,2461,23974
Gedebage,8110,2166,459,11916,112,1,15,8544,143,778,7877
Kiaracondong,17800,2626,564,28981,31,1,12,18463,180,1515,21118
Lengkong,10741,4033,642,22528,19,1,28,16229,479,1989,14606
Mandalajati,14043,2098,536,23159,22,1,5,14362,132,889,15711
Panyileukan,7101,2589,501,11603,54,1,12,8853,126,923,7514
Rancasari,14881,4178,898,25776,127,2,19,18167,358,2556,16466
Regol,13275,2069,533,27544,14,1,30,17466,230,1221,17758
Sukajadi,17718,2744,852,33154,33,2,49,21864,483,1786,22630
Sukasari,13106,3297,1062,24176,67,1,20,16637,396,2039,16141
Sumur Bandung,6097,2224,215,11521,5,0,79,8552,178,541,7649
Ujung Berung,17492,3316,896,26114,186,2,37,18096,242,1478,18366
